form,office,min_time,max_time
I-485,WPB,9.5,16
I-485,WIC,10.5,22.5
I-485,YAK,10.5,22.5
I-751,CSC,13,18.5
I-751,NSC,15.5,23.5
I-751,YSC,15.5,23.5
I-751,SSC,16,18.5
I-751,ESC,15,19
I-751,FOD,23,41
I-817,NBC,15,23
I-817,SSC,15,23
I-824,CSC,6.5,12
I-824,NBC,6.5,12
I-824,NSC,6.5,12
I-824,SSC,6.5,12
I-824,ESC,6.5,12
I-90,YSC,2.5,12
I-914,ESC,16,23.5
N-400,AGA,10.5,19.5
N-400,ALB,10.5,19.5
N-400,ABQ,10.5,19.5
N-400,ANC,10.5,19.5
N-400,ATL,12.5,17
N-400,BAL,12.5,21.5
N-400,BOI,10.5,19.5
N-400,BOS,5.5,14
N-400,BNY,14.5,20
N-400,BUF,5.5,13.5
N-400,CHL,3.5,9
N-400,CHA,10.5,19.5
N-400,CLT,9.5,13
N-400,CHI,9,18
N-400,CHR,10.5,19.5
N-400,CIN,5.5,12.5
N-400,CLE,3.5,9
N-400,CLM,5,10
N-400,DAL,15.5,22
N-400,DEN,9,19.5
N-400,DSM,11.5,14.5
N-400,DET,6.5,15.5
N-400,ELP,8.5,17
N-400,OFM,13,20.5
N-400,FSA,10.5,19.5
N-400,FRE,7,13
N-400,GRR,4,10.5
N-400,HLG,10.5,19.5
N-400,HAR,10.5,13
N-400,HEL,10.5,19.5
N-400,HIA,6.5,17
N-400,HHW,11,16.5
N-400,HOU,16.5,23
N-400,IMP,9,11.5
N-400,INP,5.5,11
N-400,JAC,5,12
N-400,KAN,6.5,13
N-400,KND,6.5,14
N-400,LVG,16,18
N-400,LAW,6,13.5
N-400,LNY,7,10.5
N-400,LOS,9.5,18.5
N-400,LAC,10.5,12
N-400,LOU,4.5,10
N-400,MAN,10.5,19.5
N-400,MEM,10.5,19.5
N-400,MIA,19,27.5
N-400,MIL,8,12.5
N-400,SPM,16,24
N-400,MGA,11,20
N-400,MTL,6.5,19.5
N-400,NTN,14,19
N-400,NEW,9,16
N-400,NOL,10.5,19.5
N-400,NYC,13,23
N-400,NOR,8.5,22.5
N-400,OKL,12.5,23
N-400,OKC,6,11.5
N-400,OMA,10.5,19.5
N-400,ORL,9.5,23.5
N-400,PHI,9.5,20
N-400,PHO,17.5,20
N-400,PIT,5.5,13.5
N-400,POM,10.5,19.5
N-400,POO,6.5,10.5
N-400,PRO,5.5,9
N-400,QNS,11.5,21
N-400,RAL,5.5,21
N-400,REN,10.5,19.5
N-400,SAC,9.5,13
N-400,STA,10.5,19.5
N-400,STL,7.5,14
N-400,SLC,15.5,19.5
N-400,SNA,11,19
N-400,SBD,6,10.5
N-400,SND,11.5,24
N-400,SFV,13.5,17.5
N-400,SFR,14.5,17
N-400,SNJ,10.5,19.5
N-400,SAJ,10.5,19.5
N-400,SAA,12,17.5
N-400,SEA,15.5,21
N-400,SPO,10.5,19.5
N-400,TAM,5,16.5
N-400,TUC,5.5,9.5
N-400,WAS,10.5,19.5
N-400,WPB,7,22
N-400,WIC,10.5,19.5
N-400,YAK,10.5,19.5
