form,office,min_time,max_time
I-102,CSC,3,8
I-102,NBC,3,8
I-102,NSC,3,8
I-102,SSC,3,8
I-102,ESC,3,8
I-485,CSC,12.5,44
I-485,NSC,10,13
I-485,SSC,14.5,48
I-485,ESC,10.5,19
I-485,AGA,11,24
I-485,ALB,11,24
I-485,ABQ,6,13.5
I-485,ANC,11,24
I-485,ATL,10,21.5
I-485,BAL,10.5,29.5
I-485,BOI,11,24
I-485,BOS,7.5,21
I-485,BNY,18.5,23
I-485,BUF,10,21.5
I-485,CHL,13,32
I-485,CHA,11,24
I-485,CLT,8,19.5
I-485,CHI,12.5,37
I-485,CHR,11,24
I-485,CIN,11,24
I-485,CLE,11,24
I-485,CLM,11,24
I-485,DAL,14,22
I-485,DEN,8,23
I-485,DSM,11,24
I-485,DET,8,17
I-485,ELP,7,17
I-485,OFM,15.5,24
I-485,FSA,11,24
I-485,FRE,6.5,16.5
I-485,GRR,11,24
I-485,HLG,6.5,19
I-485,HAR,11,24.5
I-485,HEL,11,24
I-485,HIA,12.5,26.5
I-485,HHW,11,24
I-485,HOU,15.5,27.5
I-485,IMP,11,24
I-485,INP,9,20.5
I-485,JAC,6.5,18
I-485,KAN,7,20.5
I-485,KND,17.5,27
I-485,LVG,13,19
I-485,LAW,8.5,21.5
I-485,LNY,8,22.5
I-485,LOS,10.5,20
I-485,LAC,11.5,17.5
I-485,LOU,11,24
I-485,MAN,11,24
I-485,MEM,5.5,21
I-485,MIA,19.5,32
I-485,MIL,11.5,37
I-485,SPM,14,29
I-485,MGA,11,24
I-485,MTL,7,16.5
I-485,NTN,10,16.5
I-485,NEW,10,22.5
I-485,NOL,10.5,21.5
I-485,NYC,20.5,35.5
I-485,NOR,9,24.5
I-485,OKL,18,25
I-485,OKC,9,20
I-485,OMA,7,25.5
I-485,ORL,12,24.5
I-485,PHI,11.5,21.5
I-485,PHO,19,22
I-485,PIT,11,24
I-485,POM,11,24
I-485,POO,8,16.5
I-485,PRO,9,19
I-485,QNS,8,26
I-485,RAL,7,20.5
I-485,REN,7.5,18
I-485,SAC,9,18
I-485,STA,11,24
I-485,STL,11,24
I-485,SLC,15.5,19.5
I-485,SNA,9,24.5
I-485,SBD,6.5,19
I-485,SND,8.5,19
I-485,SFV,16,18.5
I-485,SFR,17.5,21
I-485,SNJ,11.5,21
I-485,SAJ,11,24
I-485,SAA,12.5,21
I-485,SEA,13,22.5
I-485,SPO,11,24
I-485,TAM,7.5,20.5
I-485,TUC,6.5,17
I-485,WAS,11,26
I-485,WPB,9,20.5
I-485,WIC,11,24
I-485,YAK,11,24
I-526,IPO,25.5,45
I-751,CSC,14,19.5
I-751,NSC,14.5,24.5
I-751,YSC,12.5,14
I-751,SSC,15,19
I-751,ESC,14,19
I-751,FOD,22.5,42
I-817,NBC,11,25
I-817,SSC,11,25
I-824,CSC,5,12.5
I-824,NBC,5,12.5
I-824,NSC,5,12.5
I-824,SSC,5,12.5
I-824,ESC,5,12.5
I-829,IPO,28,43.5
I-90,YSC,7,13
I-914,ESC,16,33.5
I-924,IPO,29.5,71
N-400,AGA,10,18
N-400,ALB,10,18
N-400,ABQ,10,18
N-400,ANC,10,18
N-400,ATL,12,22.5
N-400,BAL,13,25
N-400,BOI,10,18
N-400,BOS,5,10
N-400,BNY,13.5,20
N-400,BUF,5,21.5
N-400,CHL,3.5,18.5
N-400,CHA,10,18
N-400,CLT,8,14
N-400,CHI,8,17
N-400,CHR,10,18
N-400,CIN,4,8
N-400,CLE,3.5,11
N-400,CLM,4.5,11.5
N-400,DAL,13.5,22.5
N-400,DEN,9.5,21
N-400,DSM,10.5,13.5
N-400,DET,6,11.5
N-400,ELP,6.5,21
N-400,OFM,12.5,19
N-400,FSA,10,18
N-400,FRE,6.5,9.5
N-400,GRR,3,9
N-400,HLG,9.5,19
N-400,HAR,10.5,20
N-400,HEL,10,18
N-400,HIA,6,11
N-400,HHW,9.5,16.5
N-400,HOU,14,21.5
N-400,IMP,10,18
N-400,INP,6,14.5
N-400,JAC,5,12
N-400,KAN,5,9.5
N-400,KND,4,11
N-400,LVG,15.5,19.5
N-400,LAW,7.5,13
N-400,LNY,6.5,11.5
N-400,LOS,9.5,15
N-400,LAC,10.5,13
N-400,LOU,4.5,11
N-400,MAN,10,18
N-400,MEM,9.5,15
N-400,MIA,13,26
N-400,MIL,8,15
N-400,SPM,14,23.5
N-400,MGA,9,20.5
N-400,MTL,5.5,11.5
N-400,NTN,13,17
N-400,NEW,8,12.5
N-400,NOL,12.5,19
N-400,NYC,13,20.5
N-400,NOR,9.5,13
N-400,OKL,14,18.5
N-400,OKC,5,10
N-400,OMA,8,10.5
N-400,ORL,9,21
N-400,PHI,9,18.5
N-400,PHO,14.5,20.5
N-400,PIT,5,13.5
N-400,POM,10,18
N-400,POO,6,10
N-400,PRO,5,10.5
N-400,QNS,11,25.5
N-400,RAL,4,12.5
N-400,REN,10,18
N-400,SAC,9.5,14
N-400,STA,10,18
N-400,STL,6.5,13
N-400,SLC,14.5,23
N-400,SNA,10,15.5
N-400,SBD,5.5,9
N-400,SND,7,11.5
N-400,SFV,14.5,16
N-400,SFR,14.5,17
N-400,SNJ,10.5,13
N-400,SAJ,10,18
N-400,SAA,13,15.5
N-400,SEA,15.5,17.5
N-400,SPO,10,18
N-400,TAM,4,11
N-400,TUC,5.5,13.5
N-400,WAS,8.5,14
N-400,WPB,7.5,16
N-400,WIC,10,18
N-400,YAK,10,18
